Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot,NoStopwords
1906,Dream of a Rarebit Fiend,American,Wallace McCutcheon and Edwin S. Porter,,short,https://en.wikipedia.org/wiki/Dream_of_a_Rarebit_Fiend_(1906_film),"The Rarebit Fiend gorges on Welsh rarebit at a restaurant. When he leaves, he begins to get dizzy as he starts to hallucinate. He desperately tries to hang onto a lamppost as the world spins all around him. A man helps him get home. He falls into bed and begins having more hallucinatory dreams. During a dream sequence, the furniture begins moving around the room. Imps emerge from a floating Welsh rarebit container and begin poking his head as he sleeps. His bed then begins dancing and spinning wildly around the room before flying out the window with the Fiend in it. The bed floats across the city as the Fiend floats up and off the bed. He hangs off the back and eventually gets caught on a weathervane atop a steeple. His bedclothes tear and he falls from the sky, crashing through his bedroom ceiling. The Fiend awakens from the dream after falling out of his bed.",Rarebit fiend gorge Welsh rarebit restaurant leave begin dizzy start hallucinate desperately try hang lamppost world spin man help home fall bed begin have hallucinatory dream dream sequence furniture begin move room imp emerge float Welsh rarebit container begin poke head sleep bed begin dance spin wildly room fly window Fiend bed float city Fiend float bed hang eventually get catch weathervane atop steeple bedclothe tear fall sky crash bedroom ceiling Fiend awaken dream fall bed
1906,From Leadville to Aspen: A Hold-Up in the Rockies,American,Francis J. Marion and Wallace McCutcheon,,short action/crime western,https://en.wikipedia.org/wiki/From_Leadville_to_Aspen:_A_Hold-Up_in_the_Rockies,The film features a train traveling through the Rockies and a hold up created by two thugs placing logs on the line. They systematically rob the wealthy occupants at gunpoint and then make their getaway along the tracks and later by a hi-jacked horse and cart.,film feature train travel Rockies hold create thug place log line systematically rob wealthy occupant gunpoint getaway track later hi jacked horse cart
1906,Kathleen Mavourneen,American,Edwin S. Porter,,short film,https://en.wikipedia.org/wiki/Kathleen_Mavourneen_(1906_film),"Irish villager Kathleen is a tenant of Captain Clearfield, who controls local judges and criminals. Her father owes Clearfield a large debt. Terence O'More saves the village from Clearfield, causing a large celebration.
Film historian Charles Musser writes of Porter's adaptation, ""O'More not only rescues Kathleen from the villain but, through marriage, renews the family for another generation.""[1]","irish villager Kathleen tenant Captain Clearfield control local judge criminal father owe Clearfield large debt Terence O'More save village Clearfield cause large celebration 
 film historian Charles Musser write Porter adaptation O'More rescue Kathleen villain marriage renew family generation.""[1"
1907,Daniel Boone,American,Wallace McCutcheon and Ediwin S. Porter,"William Craven, Florence Lawrence",biographical,https://en.wikipedia.org/wiki/Daniel_Boone_(1907_film),"Boone's daughter befriends an Indian maiden as Boone and his companion start out on a hunting expedition. While he is away, Boone's cabin is attacked by the Indians, who set it on fire and abduct Boone's daughter. Boone returns, swears vengeance, then heads out on the trail to the Indian camp. His daughter escapes but is chased. The Indians encounter Boone, which sets off a huge fight on the edge of a cliff. A burning arrow gets shot into the Indian camp. Boone gets tied to the stake and tortured. The burning arrow sets the Indian camp on fire, causing panic. Boone is rescued by his horse, and Boone has a knife fight in which he kills the Indian chief.[2]",Boone daughter befriend indian maiden Boone companion start hunting expedition away Boone cabin attack Indians set fire abduct Boone daughter boone return swear vengeance head trail indian camp daughter escape chase Indians encounter Boone set huge fight edge cliff burn arrow get shoot indian camp Boone get tie stake torture burn arrow set indian camp fire cause panic Boone rescue horse Boone knife fight kill indian chief.[2
1907,How Brown Saw the Baseball Game,American,Unknown,Unknown,comedy,https://en.wikipedia.org/wiki/How_Brown_Saw_the_Baseball_Game,"Before heading out to a baseball game at a nearby ballpark, sports fan Mr. Brown drinks several highball cocktails. He arrives at the ballpark to watch the game, but has become so inebriated that the game appears to him in reverse, with the players running the bases backwards and the baseball flying back into the pitcher's hand. After the game is over, Mr. Brown is escorted home by one of his friends. When they arrive at Brown's house, they encounter his wife who becomes furious with the friend and proceeds to physically assault him, believing he is responsible for her husband's severe intoxication.[1]",head baseball game nearby ballpark sport fan Mr. Brown drink highball cocktail arrive ballpark watch game inebriated game appear reverse player run basis backwards baseball fly pitcher hand game Mr. Brown escort home friend arrive Brown house encounter wife furious friend proceed physically assault believe responsible husband severe intoxication.[1
1907,Laughing Gas,American,Edwin Stanton Porter,"Bertha Regustus, Edward Boulden",comedy,https://en.wikipedia.org/wiki/Laughing_Gas_(film)#1907_Film,"The plot is that of a black woman going to the dentist for a toothache and being given laughing gas. On her way walking home, and in other situations, she can't stop laughing, and everyone she meets ""catches"" the laughter from her, including a vendor and police officers.",plot black woman go dentist toothache give laugh gas way walk home situation stop laugh meet catch laughter include vendor police officer
1908,The Adventures of Dollie,American,D. W. Griffith,"Arthur V. Johnson, Linda Arvidson",drama,https://en.wikipedia.org/wiki/The_Adventures_of_Dollie,"On a beautiful summer day a father and mother take their daughter Dollie on an outing to the river. The mother refuses to buy a gypsy's wares. The gypsy tries to rob the mother, but the father drives him off. The gypsy returns to the camp and devises a plan. They return and kidnap Dollie while her parents are distracted. A rescue crew is organized, but the gypsy takes Dollie to his camp. They gag Dollie and hide her in a barrel before the rescue party gets to the camp. Once they leave the gypsies and escapes in their wagon. As the wagon crosses the river, the barrel falls into the water. Still sealed in the barrel, Dollie is swept downstream in dangerous currents. A boy who is fishing in the river finds the barrel, and Dollie is reunited safely with her parents.",beautiful summer day father mother daughter Dollie outing river mother refuse buy gypsy ware gypsy try rob mother father drive gypsy return camp devise plan return kidnap Dollie parent distract rescue crew organize gypsy take Dollie camp gag Dollie hide barrel rescue party get camp leave gypsy escape wagon wagon cross river barrel fall water seal barrel Dollie sweep downstream dangerous current boy fish river find barrel Dollie reunite safely parent
1908,The Black Viper,American,D. W. Griffith,D. W. Griffith,drama,https://en.wikipedia.org/wiki/The_Black_Viper,"A thug accosts a girl as she leaves her workplace but a man rescues her. The thug vows revenge and, with the help of two friends, attacks the girl and her rescuer again as they're going for a walk. This time they succeed in kidnapping the rescuer. He is bound and gagged and taken away in a cart. The girl runs home and gets help from several neighbors. They track the ruffians down to a cabin in the mountains where the gang has trapped their victim and set the cabin on fire. A thug and Rescuer fight on the roof of the house.",thug accost girl leave workplace man rescue thug vow revenge help friend attack girl rescuer go walk time succeed kidnap rescuer bind gag take away cart girl run home get help neighbor track ruffian cabin mountain gang trap victim set cabin fire thug Rescuer fight roof house
1908,A Calamitous Elopement,American,D.W. Griffith,"Harry Solter, Linda Arvidson",comedy,https://en.wikipedia.org/wiki/A_Calamitous_Elopement,"A young couple decides to elope after being caught in the midst of a romantic moment by the woman's angry father. They make plans to leave, but a thief discovers their plans and hides in their trunk and waits for the right moment to steal their belongings.",young couple decide elope catch midst romantic moment woman angry father plan leave thief discover plan hide trunk wait right moment steal belonging
1908,The Call of the Wild,American,D. W. Griffith,Charles Inslee,adventure,https://en.wikipedia.org/wiki/The_Call_of_the_Wild_(1908_film),"A white girl (Florence Lawrence) rejects a proposal from an Indian brave (Charles Inslee) in this early one-reel Western melodrama. Despite the rejection, the Indian still comes to the girl's defense when she is abducted by his warring tribe. In her first year in films, Florence Lawrence was already the most popular among the Biograph Company's anonymous stock company players. By 1909, she was known the world over as ""The Biograph Girl.""",white girl Florence Lawrence reject proposal indian brave Charles Inslee early reel western melodrama despite rejection Indian come girl defense abduct war tribe year film Florence Lawrence popular Biograph Company anonymous stock company player 1909 know world Biograph Girl
1908,A Christmas Carol,American,Unknown,Tom Ricketts,drama,https://en.wikipedia.org/wiki/A_Christmas_Carol_(1908_film),"No prints of the first American film adaptation of A Christmas Carol are known to exist,[1] but The Moving Picture World magazine provided a scene-by-scene description before the film's release.[2] Scrooge goes into his office and begins working. His nephew, along with three women who wish for Scrooge to donate enter. However, Scrooge dismisses them. On the night of Christmas Eve, his long-dead partner Jacob Marley comes as a ghost, warning him of a horrible fate if he does not change his ways. Scrooge meets three spirits that show Scrooge the real meaning of Christmas, along with his grave, the result of his parsimonious ways. The next morning, he wakes and realizes the error of his ways. Scrooge was then euphoric and generous for the rest of his life.","print american film adaptation Christmas Carol know exist,[1 Moving Picture World magazine provide scene scene description film release.[2 Scrooge go office begin work nephew woman wish Scrooge donate enter Scrooge dismiss night Christmas Eve long dead partner Jacob Marley come ghost warn horrible fate change way Scrooge meet spirit Scrooge real meaning Christmas grave result parsimonious way morning wake realize error way Scrooge euphoric generous rest life"
1908,The Fight for Freedom,American,D. W. Griffith,"Florence Auer, John G. Adolfi",western,https://en.wikipedia.org/wiki/The_Fight_for_Freedom,"The film opens in a town on the Mexican border. A poker game is going on in the local saloon. One of the players cheats and is shot dead by another of the players, a Mexican named Pedro. In the uproar that follows Pedro is wounded as he escapes from the saloon. The sheriff is called, who tracks Pedro to his home but Pedro kills the sherriff too. While Pedro hides, his wife Juanita, is arrested on suspicion of murdering the sheriff. Pedro rescues her from the town jail and the two head for the Mexican border. Caught by the posse before they reach the border, Juanita is killed and the film ends with Pedro being arrested and taken back to town.",film open town mexican border poker game go local saloon player cheat shoot dead player Mexican name Pedro uproar follow Pedro wound escape saloon sheriff call track Pedro home Pedro kill sherriff Pedro hide wife Juanita arrest suspicion murder sheriff Pedro rescue town jail head mexican border catch posse reach border Juanita kill film end Pedro arrest take town
1909,At the Altar,American,D. W. Griffith,Marion Leonard,drama,https://en.wikipedia.org/wiki/At_the_Altar,"A rejected admirer sets up a trap to kill his sweetheart and her fiance before they married and then commit suicide, but before he passes away, he leaves a confession. Fortunately the confession is found on time and a police man runs to the church to save the couple.",reject admirer set trap kill sweetheart fiance marry commit suicide pass away leave confession fortunately confession find time police man run church save couple
1909,A Drunkard's Reformation,American,D. W. Griffith,Arthur V. Johnson,drama,https://en.wikipedia.org/wiki/A_Drunkard%27s_Reformation,"John Wharton, the husband of a true and trusting wife and father of an eight-year-old girl, through the association of rakish companions becomes addicted to the drink habit, and while the demon rum has not fastened its tentacles firmly, there is no question that given free rein the inevitable would culminate in time. Arriving home one afternoon in a wine besotted condition, he is indeed a terrifying spectacle to his little family. Later, after he has slept off the effects to some extent, while at supper, the little girl shows him two tickets for the theater, begging him to take her. After some persuasion he consents to go. The play is a dramatization of Émile Zola's L'Assommoir, which shows how short a journey it is from peace and happiness to woe and despair by the road of rum. At the final curtain of the play, he is a changed man, going homeward with a firm determination that he will drink no more, which he promises his wife upon his return. Two years later we find the little family seated, happy and peaceful, at the fireside and we know that the promise has been kept.",John Wharton husband true trust wife father year old girl association rakish companion addict drink habit demon rum fasten tentacle firmly question give free rein inevitable culminate time arrive home afternoon wine besotte condition terrifying spectacle little family later sleep effect extent supper little girl show ticket theater beg persuasion consent play dramatization Émile Zola L'Assommoir show short journey peace happiness woe despair road rum final curtain play changed man go homeward firm determination drink promise wife return year later find little family seat happy peaceful fireside know promise keep
1909,The Golden Louis,American,D. W. Griffith,,drama,https://en.wikipedia.org/wiki/The_Golden_Louis,"An old woman sends a girl begging in the streets of Paris on a snowy evening. Callous revelers pass her by, and she falls asleep before one donor finally drops a golden Louis in her shoe. A gambler with a sure tip on roulette but no cash borrows the coin to win a fortune for the girl. She wakes, and the two miss each other wandering the streets until the gambler finds the girl dead.",old woman send girl beg street Paris snowy evening callous reveler pass fall asleep donor finally drop golden Louis shoe gambler sure tip roulette cash borrow coin win fortune girl wake miss wander street gambler find girl dead
1909,The Lure of the Gown,American,D.W. Griffith,Marion Leonard,unknown,https://en.wikipedia.org/wiki/The_Lure_of_the_Gown,"The story as told by Moving Picture World reads:
","story tell move Picture World read 
"
1910,An Arcadian Maid,American,D.W. Griffith,"Mary Pickford, Mack Sennett",drama,https://en.wikipedia.org/wiki/An_Arcadian_Maid,Mary Pickford plays Priscilla an unemployed maid who finds work at a farm. There she meets a no-good peddler who starts flirting with her and makes her fall in love with him. He runs up a gambling bill and asks her to help him pay his debts or he won't be able to marry her.[1],Mary Pickford play Priscilla unemployed maid find work farm meet good peddler start flirt make fall love run gambling bill ask help pay debt will able marry her.[1
1910,A Christmas Carol,American,J. Searle Dawley,"Marc McDermott, Charles Stanton Ogle",unknown,https://en.wikipedia.org/wiki/A_Christmas_Carol_(1910_film),"The day before Christmas, Ebenezer Scrooge refuses to contribute to the Charity Relief Committee, and then rudely rejects his nephew Fred when he visits Scrooge in his office. When Scrooge returns home, he sees the ghost of his former business partner Jacob Marley, who warns him of the punishment he will suffer in the next life if he does not change his ways. That night, Scrooge is visited by three more spirits, who show him his past, present, and future him.",day Christmas Ebenezer Scrooge refuse contribute Charity Relief Committee rudely reject nephew Fred visit Scrooge office Scrooge return home see ghost business partner Jacob Marley warn punishment suffer life change way night Scrooge visit spirit past present future
1910,Frankenstein,American,J. Searle Dawley,"Augustus Phillips, Charles Stanton Ogle, Mary Fuller",unknown,https://en.wikipedia.org/wiki/Frankenstein_(1910_film),"Described as ""a liberal adaptation of Mrs. Shelley's famous story"", the plot description in the Edison Kinetogram was:[3]",describe liberal adaptation Mrs. Shelley famous story plot description Edison Kinetogram was:[3
1910,"Hemlock Hoax, the Detective",American,Unknown,,comedy,"https://en.wikipedia.org/wiki/Hemlock_Hoax,_the_Detective","Hemlock Hoax is a detective who has little respect in the small tropical town where he lives, despite the fact that he thinks he is a better sleuth than Sherlock Holmes. A pair of boys decide to play a trick on Hoax and tell him about a murder. Hoax rushes to scene of the crime where he discovers a shred of cloth, later finding that a tramp is wearing the same type of clothes that he found. The tramp runs away and Hoax gives chase, with other people helping the pursuit. Eventually, Hoax captures the tramp with the aid of a police officer, and returns to the victim's body with the man. Hoax then comes to a realization that the body was just a dummy that had been stuffed with the leaves. The crowd has a laugh at Hoax's expense while the two boys are punished.[1]",Hemlock Hoax detective little respect small tropical town live despite fact think well sleuth Sherlock Holmes pair boy decide play trick Hoax tell murder hoax rush scene crime discover shred cloth later find tramp wear type clothe find tramp run away Hoax give chase people help pursuit eventually Hoax capture tramp aid police officer return victim body man Hoax come realization body dummy stuff leave crowd laugh Hoax expense boy punished.[1
1910,The House with Closed Shutters,American,D.W. Griffith,Henry B. Walthall,drama,https://en.wikipedia.org/wiki/The_House_with_Closed_Shutters,"During the American Civil War a young soldier loses his nerve in battle and runs away to his home to hide; his sister puts on his uniform, takes her brother's place in the battle, and is killed. Their mother, not wanting the shameful truth to become known, closes all the shutters (hence the film's title) and keeps her son's presence a secret for many years, until two boyhood chums stumble upon the truth.",American Civil War young soldier lose nerve battle run away home hide sister put uniform take brother place battle kill mother want shameful truth know close shutter film title keep son presence secret year boyhood chum stumble truth
1910,A Lad from Old Ireland,American,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",drama,https://en.wikipedia.org/wiki/A_Lad_from_Old_Ireland,"An Irish boy (Olcott) emigrates to America to escape the desperate poverty of Ireland. After finding work in construction, he finds success in politics. He returns to Ireland after receiving a letter from his sweetheart (Gauntier) just as her destitute family is being forced off their land.[3]",irish boy Olcott emigrate America escape desperate poverty Ireland find work construction find success politic return Ireland receive letter sweetheart Gauntier destitute family force land.[3
